category_name;name_stuff;url_stuff;size;color;cloth;price
Одежда для торговли;Брюки женские;https://argo-ivanovo.ru/golovnye-ubory/brjuki-shtany-gabardinovye; 44  46  48  50  52  52  54  56  58 ; Василек  Темно-синий ; Габардин ;320р.
Одежда для торговли;Головной убор Козырек;https://argo-ivanovo.ru/golovnye-ubory/kozurek-1;; Василек  Бордо  Зеленый  Темно-синий ; Нейлон  Габардин ;180р.
Одежда для торговли;Головной убор Пилотка ;https://argo-ivanovo.ru/golovnye-ubory/golovnoj-ubor-pilotka 1; Универсальный ; Василек  Бордо  Зеленый  Красный  Темно-синий ; Габардин ;180р.
Одежда для торговли;Головной убор Пилотка;https://argo-ivanovo.ru/golovnye-ubory/golovnoj-ubor-pilotka 2; Универсальный ; Василек  Бордо ; Нейлон ;180р.
Одежда для торговли;Головной убор Пилотка;https://argo-ivanovo.ru/golovnye-ubory/golovnoj-ubor-pilotka; Универсальный ; Белый  Василек  Бордо  Зеленый  Красный  Темно-синий ; Габардин ;180р.
Одежда для торговли;Головной убор Пилотка-Сетка;https://argo-ivanovo.ru/golovnye-ubory/pilotka-dlja-prodavtsa-tkan-nejlon-100-poliefir; Универсальный ; Василек  Бордо ; Габардин ;180р.
Одежда для торговли;"Сарафан Женский ""ГОРОХ"" (44-60)";https://argo-ivanovo.ru/golovnye-ubory/sarafan-zhenskij-gorox 1; 44  46  48  50  52  54  56  58  60 ; Тем.синей+лайм ; Нейлон ;350р.
Одежда для торговли;"Сарафан Женский ""ГОРОХ"" (44-60)";https://argo-ivanovo.ru/golovnye-ubory/sarafan-zhenskij-gorox-44-60; 44  46  48  50  52  54  56  58  60 ; Тем.синей+красный ; Нейлон ;350р.
Одежда для торговли;Сарафан Женский № XХ (62-66);https://argo-ivanovo.ru/golovnye-ubory/sarafan-zhenskij-01x; 62  64  66 ; Василек ; Габардин ;385р.
Одежда для торговли;Сарафан Женский № XХ (62-66);https://argo-ivanovo.ru/golovnye-ubory/sarafan-zhenskij-xx-62-66; 62  64  66 ;;;385р.
Одежда для торговли;Сарафан Женский №01 (Лилия) 44-60;https://argo-ivanovo.ru/golovnye-ubory/sarafan-zhenskij-01-lilija-44-60; 44  46  48  50  52  54  56  58  60 ; Василек ; Нейлон ;345р.
Одежда для торговли;Сарафан Женский №01 (Лилия) 44-60;https://argo-ivanovo.ru/golovnye-ubory/sarafan-zhenskij-01-lilija-44-60 2; 44  46  48  50  52  54  56  58  60 ; Бордо ; Габардин ;355р.
Одежда для торговли;Сарафан Женский №01 (Лилия) 44-60;https://argo-ivanovo.ru/golovnye-ubory/sarafan-zhenskij-01; 44  46  48  50  52  54  56  58  60 ; Василек ; Габардин ;355р.
Одежда для торговли;Сарафан Женский №05 (44-60);https://argo-ivanovo.ru/golovnye-ubory/sarafan-05-gabardin; 44  46  48  50  52  54  56  58  60 ; Василек  Темно-синий ; Габардин ;355р.
Одежда для торговли;Сарафан Женский №05 (44-60);https://argo-ivanovo.ru/golovnye-ubory/sarafan-05-nejlon; 44  46  48  50  52  54  56  58  60 ; Василек  Темно-синий ; Нейлон ;345р.
Одежда для торговли;Сарафан Женский №08 габардин (44-60);https://argo-ivanovo.ru/golovnye-ubory/sarafan-zhenskij-08-4-60-tkan-gabardin-100-poliester; 44  46  48  50  52  54  56  58  60 ; Василек  Бордо  Зеленый  Темно-синий ; Габардин ;370р.
Одежда для торговли;Сарафан Женский №08 нейлон (44-60);https://argo-ivanovo.ru/golovnye-ubory/sarafan-zhenskij-08-44-60-tkan-gabardin-100-poliester; 44  46  48  50  52  54  56  58  60 ; Василек  Бордо  Темно-синий ; Нейлон ;360р.
Одежда для торговли;Сарафан Женский №09 (44-60);https://argo-ivanovo.ru/golovnye-ubory/sarafan-zhenskij-09; 44  46  48  50  52  54  56  58  60 ; Темно-синий ; Габардин ;376р.
Одежда для торговли;Сарафан Женский №31 (Сакура) 44-60;https://argo-ivanovo.ru/golovnye-ubory/sarafan2; 44  46  48  50  52  54  56  58  60 ; Темно-синий ; Габардин ;400р.
Одежда для торговли;Сарафан Женский №31 (Сакура) 44-60;https://argo-ivanovo.ru/golovnye-ubory/sarafan-zhenskij-31-sakura-44-60; 44  46  48  50  52  54  56  58  60 ; Василек ; Габардин ;400р.
Одежда для торговли;Сарафан НОВИНКА (44-62);https://argo-ivanovo.ru/golovnye-ubory/sarafan-novinka-44-68; 52  54  60  62 ; Василек ; Габардин ;300р.
Одежда для торговли;"Фартук со спинкой ""Обманка"" (56-80)";https://argo-ivanovo.ru/golovnye-ubory/fartuk-obmanka; XXXXXL ; Бордо  Темно-синий ; 65% полиэстер, 35 % хлопок ;605р.
Одежда для торговли;Фартук со спинкой № 11 (44-56);https://argo-ivanovo.ru/golovnye-ubory/fartuk-so-spinkoj-44-44-56; Универсальный ; Василек  Бордо  Красный ; 65% полиэстер, 35 % хлопок ;380р.
Одежда для торговли;Фартук со спинкой № 13 (44-56);https://argo-ivanovo.ru/golovnye-ubory/fartuk-so-spinkoj-13-44-56; Универсальный ; Василек ; Габардин ;350р.
Одежда для торговли;Фартук со спинкой № 15 (44-54);https://argo-ivanovo.ru/golovnye-ubory/fartuk; Универсальный ; Василек  Бордо  Серый  Темно-синий ; Габардин ;340р.
Одежда для торговли;Фартук со спинкой № 24 (56-64);https://argo-ivanovo.ru/golovnye-ubory/fartuk-so-spinkoj-24-56-64; Универсальный ; Василек  Бордо ; Габардин ;385р.
Одежда для торговли;Фартук со спинкой № 4  (44-56);https://argo-ivanovo.ru/golovnye-ubory/fartuk-so-spinkoj-4; Универсальный ; Серый  Темно-синий ; 65% полиэстер, 35 % хлопок ;415р.
Одежда для торговли;Фартук со спинкой № 43 (44-56);https://argo-ivanovo.ru/golovnye-ubory/fartuk-so-spinkoj-43; Универсальный ; Темно-синий ; Габардин ;320р.
Одежда для торговли;Фартук со спинкой № 45/1 (44-56) гретта;https://argo-ivanovo.ru/golovnye-ubory/fartuk-so-spinkoj-45-1-44-56-gretta; Универсальный ; Василек  Серый  Темно-синий ; Грета ;330р.
Одежда для торговли;Фартук со спинкой №1 (44-54);https://argo-ivanovo.ru/golovnye-ubory/fartuk-1-nejlon; Универсальный ; Василек  Бордо  Зеленый  Темно-синий ; Нейлон ;320р.
Одежда для торговли;Фартук со спинкой №20 (44-56);https://argo-ivanovo.ru/golovnye-ubory/fartuk-so-spinkoj-20-44-56; Универсальный ; Василек  Бордо  Зеленый  Красный  Темно-синий ; Габардин ;310р.
Одежда для торговли;Фартук со спинкой №44 (44-54);https://argo-ivanovo.ru/golovnye-ubory/fartuk-so-spinkoj-44-44-54; Универсальный ; Темно-синий ; Габардин ;340р.
Одежда для торговли;Фартук со спинкой №45 (44-56);https://argo-ivanovo.ru/golovnye-ubory/fartuk-so-spinkoj-45-44-56; Универсальный ; Василек  Бордо  Зеленый  Темно-синий  Коричневый ; Габардин ;316р.
Одежда для торговли;Фартук Универсальный (44-60);https://argo-ivanovo.ru/golovnye-ubory/fartuk-universalnyj; Универсальный ; Бордо  Красный  Темно-синий ; смесовая ткань ;360р.
Одежда для торговли;Халат Женский № 15Х (62-64);https://argo-ivanovo.ru/golovnye-ubory/xalat-zhenskij-15x-62-68; 62  64 ; Василек  Темно-синий ; Нейлон ;400р.
Одежда для торговли;Халат Женский № 17 (44-60);https://argo-ivanovo.ru/golovnye-ubory/xalat-zhenskij-17а; 44  46  48  50  52  54  56  58  60 ; В ассортименте ; 65% полиэстер, 35 % хлопок ;500р.
Одежда для торговли;Халат Женский № 20 (44-60);https://argo-ivanovo.ru/golovnye-ubory/xalat-zhenskij-20; 44  46  48  50  52  54  56  58  60 ; Бордо  Темно-синий ; Габардин ;400р.
Одежда для торговли;Халат Женский № 21Х (62-68);https://argo-ivanovo.ru/golovnye-ubory/xalat-zhenskij-21Х-62-68; 62  64  66  68 ; Василек  Бордо  Серый ; Габардин ;418р.
Одежда для торговли;Халат Женский № 22 (44-60);https://argo-ivanovo.ru/golovnye-ubory/xalat-zhenskij-17; 44  46  48  50  52  54  56  58  60 ; Василек  Бордо  Зеленый  Темно-синий ; Габардин ;366р.
Одежда для торговли;Халат Женский № 22 (44-60);https://argo-ivanovo.ru/golovnye-ubory/xalat-zhenskij-22; 44  46  48  50  52  54  56  58  60 ; Бежевый  Бежевый  Василек  Коричневый ; Габардин ;366р.
Одежда для торговли;Халат Женский № 22Х (62-68);https://argo-ivanovo.ru/golovnye-ubory/xalat-zhenskij-22x-62-68; 62  64  66  68 ; Василек  Бордо  Зеленый ; Габардин ;406р.
Одежда для торговли;Халат Женский № 5Х (62-68);https://argo-ivanovo.ru/golovnye-ubory/xalat-zhenskij-5x-62-68; 62  64  66  68 ; Белый ; Габардин+Кружево ;476р.
Одежда для торговли;Халат Женский №15 (44-60);https://argo-ivanovo.ru/golovnye-ubory/xalat-henskij-15; 44  46  48  50  52  54  56  58  60 ; Василек  Темно-синий ; Нейлон ;360р.
Одежда для торговли;Халат Женский №16 (44-60);https://argo-ivanovo.ru/golovnye-ubory/xalat-274; 44  46  48  50  52  54  56  58  60 ; Василек  Бордо ; Габардин ;363р.
Одежда для торговли;Халат Женский №16 (44-60);https://argo-ivanovo.ru/golovnye-ubory/xalat-269; 44  46  48  50  52  54  56  58  60 ; Темно-синий ; Нейлон ;360р.
Одежда для торговли;Халат Женский №2 (44-60);https://argo-ivanovo.ru/golovnye-ubory/xalat-2-44-60-gabardin; 44  46  48  50  52  54  56  58  60 ; Василек  Бордо  Зеленый  Темно-синий ; Габардин ;360р.
Одежда для торговли;Халат Женский №21 (44-60);https://argo-ivanovo.ru/golovnye-ubory/xalat-21; 44  46  48  50  52  54  56  58  60 ; Василек  Бордо  Серый ; Габардин ;378р.
Одежда для торговли;Костюм Женский  №11 (44-56);https://argo-ivanovo.ru/golovnye-ubory/kostjum-dlja-prodavtsa; 44  46  48  50  52  54  56  58 ; Василек  Бордо ; Габардин ;600р.
Одежда для торговли;Костюм Женский  №11 большие размеры (58-62);https://argo-ivanovo.ru/golovnye-ubory/kostjum-zhenskij-11-bolshie-razmery; 58  60  62 ; Василек  Бордо  Серый ; Габардин ;650р.
Одежда для торговли;Сарафан Женский №01 (Лилия) 44-60;https://argo-ivanovo.ru/golovnye-ubory/sarafan 01; 44  46  48  50  52  54  56  58  60 ; Бордо ; Нейлон ;345р.
Одежда для торговли;Фартук со спинкой №31 (44-52);https://argo-ivanovo.ru/golovnye-ubory/fartuk-31-44-52-tkan-gabardin; Универсальный ; Василек  Красный  Темно-синий ; Габардин ;380р.
Одежда для торговли;Халат Женский №2Х (62-68);https://argo-ivanovo.ru/golovnye-ubory/xalat-zhenskij-2x-62-68-tkan-gabardin-100-poliefir; 62  64  66  68 ; Василек  Бордо  Зеленый ; Габардин ;420р.
Одежда для торговли;Костюм Женский №15 (44-58);https://argo-ivanovo.ru/golovnye-ubory/kostjum; 44  46  48  50  52  54  56  58 ; Василек ; Габардин ;600р.
Одежда для торговли;Халат Женский №12 (44-60);https://argo-ivanovo.ru/golovnye-ubory/xalat-zhenskij-12; 44  46  48  50  52  54  56  58  60 ; Василек  Бордо  Зеленый  Темно-синий ; Нейлон ;360р.
Одежда для торговли;Халат Женский №12Х (62-68);https://argo-ivanovo.ru/golovnye-ubory/xalat-12-x-62-68-tkan-nejlon-100-poliefir; 62  64  66  68 ; Василек  Бордо  Зеленый  Темно-синий ; Нейлон ;430р.
Одежда для торговли; Шапочка-шарлотка;https://argo-ivanovo.ru/golovnye-ubory/shapochka-sharlotta-odnorazovaja;; Пудра  Белый  Бирюза ; спанбонд ;350р.
Одежда для торговли;Фартук со спинкой №21 (44-52);https://argo-ivanovo.ru/golovnye-ubory/fartuk-21-44-52-tkan-gabardin-100-poliefir; Универсальный ; Серый  Коричневый ; Габардин ;345р.
Одежда для торговли;Фартук со спинкой №18 (48-56);https://argo-ivanovo.ru/golovnye-ubory/fartuk-8-42-50-tkan-gabardin-100-poliefir; Универсальный ; Василек  Бордо  Зеленый  Темно-синий ; Габардин ;360р.
Одежда для торговли;Фартук со спинкой  ВЕЛИКАН (56-64);https://argo-ivanovo.ru/golovnye-ubory/fartuk-velikan-56-64-tkan-gabardin-100-poliefir-logotip; Универсальный ; Пудра  Василек  Бордо  Зеленый ; Габардин ;405р.
Одежда для торговли;Фартук со спинкой №3 (48-56);https://argo-ivanovo.ru/golovnye-ubory/fartuk-dly-prodavca; Универсальный ; Василек  Бордо  Зеленый ; Габардин ;360р.
Одежда для торговли;Фартук со спинкой №30Х (48-56);https://argo-ivanovo.ru/golovnye-ubory/fartuk-30-x-52-60-tkan-gabardin-100-poliefir; Универсальный ; Василек  Бордо  Зеленый  Бирюза  Красный  Темно-синий ; Габардин ;355р.
Одежда для торговли;Фартук со спинкой №Х (52-62);https://argo-ivanovo.ru/golovnye-ubory/fartuk-zhenskij(3); Универсальный ; Василек  Бордо  Зеленый  Темно-синий ; Нейлон ;320р.
Одежда для торговли;Халат Женский №5 (44-60);https://argo-ivanovo.ru/golovnye-ubory/xalat-5-42-60-tkan-gabardin-xalat-iz-nejlona-prjamogo-silueta-s-tsentralnoj-zastezhkoj-na-molnii-s-dvumja-nakladnymi-karmanami-i-razrezami-po-bokovym-shvam-rukav-korotkij-v-tachnoj-vorotnik-otlozhnoj-vshityj-v-plechevye-shvy-objem-talii-reguliruetsja-poja; 44  46  48  50  52  54  56  58  60 ; Белый ; Габардин+Кружево ;406р.
Одежда для торговли;Фартук со спинкой №30 (44-50);https://argo-ivanovo.ru/golovnye-ubory/fartuk-30-42-50-tkan-gabardin-100-poliefir; Универсальный ; Василек  Бордо  Зеленый  Бирюза  Красный  Сирень  Салатовый ; Габардин ;320р.
Одежда для торговли;Фартук со спинкой М (42-50);https://argo-ivanovo.ru/golovnye-ubory/fartuk-zhenskij-nejlon-30; Универсальный ; В ассортименте  Василек  Бордо  Зеленый  Темно-синий ; Нейлон ;300р.
Одежда для торговли;Фартук со спинкой №5а (44-54);https://argo-ivanovo.ru/golovnye-ubory/fartuk-zhenskij; Универсальный ; Белый ; Нейлон  Габардин+Кружево ;365р.
Одежда для торговли;Фартук-передник №23 (44-60);https://argo-ivanovo.ru/golovnye-ubory/f; Универсальный ; Белый  Василек  Бордо  Зеленый  Серый  Темно-синий  Коричневый ; Оксфорд ;310р.
Одежда для торговли;Фартук Домохозяйка (44-60);https://argo-ivanovo.ru/golovnye-ubory/fartuk-domohozyika; Универсальный ; В ассортименте ; Болонь ;160р.
Одежда для торговли;Нарукавники на резинке;https://argo-ivanovo.ru/golovnye-ubory/fartuk1; Универсальный ; Белый  Василек  Серый  Темно-синий ; Оксфорд ;190р.
Одежда для торговли;Фартук ОДНОРАЗОВЫЙ ;https://argo-ivanovo.ru/golovnye-ubory/fartuk-polietilenovyj-120x70sm-serebro; Универсальный ;; полиэтилен ;300р.
Медицинская одежда;Бандана женская;https://argo-ivanovo.ru/xalaty/bandana-zhenskaja; Универсальный ; Белый  Черный ; 65% полиэстер, 35 % хлопок ;250р.
Медицинская одежда;Бандана мужская;https://argo-ivanovo.ru/xalaty/bandana-muzhskaja; Универсальный ; Белый  Черный ; 65% полиэстер, 35 % хлопок ;250р.
Медицинская одежда;Костюм санитарный № 110 (40-56);https://argo-ivanovo.ru/xalaty/kostjum-sanitarnyj-110-40-56; 40  42  44  46  48  50  52  54  56 ; Белый+Мурена ; 65% полиэстер, 35 % хлопок ;855р.
Медицинская одежда;Костюм санитарный № 110 (58-64);https://argo-ivanovo.ru/xalaty/kostjum-sanitarnyj-110-58-64; 58  60  62  64 ; Белый+Мурена ; 65% полиэстер, 35 % хлопок ;865р.
Медицинская одежда;Костюм санитарный № 112 (44-56);https://argo-ivanovo.ru/xalaty/kostjum-sanitarnyj-112-44-56; 44  46  48  50  52  54  56 ; Темно-синий ; 65% полиэстер, 35 % хлопок ;790р.
Медицинская одежда;Костюм санитарный № 117 (42-52) цветной;https://argo-ivanovo.ru/xalaty/kostju-sanitarnyj-117-42-52-tsvetnoj; 42  44  46  48  50  52 ; Серый +лайм ; 65% полиэстер, 35 % хлопок ;910р.
Медицинская одежда;Костюм санитарный № 120 ( 40-56) цветной;https://argo-ivanovo.ru/xalaty/kostjum-sanitarnyj-120-40-56-tsvetnoj; 40  42  44  46  48  50  52  54  56 ; Сирень ; 65% полиэстер, 35 % хлопок ;855р.
Медицинская одежда;Костюм санитарный № 120 (40-56);https://argo-ivanovo.ru/xalaty/kostjum-sanitarnyj-120-40-56; 40  42  44  46  48  50  52  54  56 ; Белый+ Красный  Белый ; 65% полиэстер, 35 % хлопок ;835р.
Медицинская одежда;Костюм санитарный № 201 тиси (44-56);https://argo-ivanovo.ru/xalaty/kostjum-zhenskij; 44  46  48  50  52  54  56 ; Белый+голубой  Белый + тем.синей  Черный ; 65% полиэстер, 35 % хлопок ;837р.
Медицинская одежда;Костюм санитарный № 21/1 (40-56);https://argo-ivanovo.ru/xalaty/kostjum-sanitarnyj-21-1-40-56; 40  42  44  46  48  50  56 ; Лазурный  Сирень ; 65% полиэстер, 35 % хлопок ;895р.
Медицинская одежда;Костюм санитарный № 21/1 (58-62);https://argo-ivanovo.ru/xalaty/kostjum-sanitarnyj-21-1-58-60; 58  60  62 ; Лазурный  Сирень ; 65% полиэстер, 35 % хлопок ;945р.
Медицинская одежда;Костюм санитарный № 22 (40-56) цветной;https://argo-ivanovo.ru/xalaty/kostjum-sanitarnyj-22-40-56-tsvetnoj1223; 40  42  46  48  50  52  54  56 ; Черный  Сирень ; 65% полиэстер, 35 % хлопок ;860р.
Медицинская одежда;Костюм санитарный № 22 (44-56);https://argo-ivanovo.ru/xalaty/kostjum-sanitarnyj-22; 44  46  48  50  52  54  56 ; Белый + тем.синей  Белый + зеленый  Белый ; 65% полиэстер, 35 % хлопок ;835р.
Медицинская одежда;Костюм санитарный № 40 (44-56) ;https://argo-ivanovo.ru/xalaty/kostjum-sanitarnyj-40-44-56; 44  46  48  50  52  54  56 ; Темно-синий ; 65% полиэстер, 35 % хлопок ;805р.
Медицинская одежда;Костюм санитарный № 510 (40-56);https://argo-ivanovo.ru/xalaty/Костюм санитарный № 5102; 42  44  46  48  50  52  54  56 ; Белый+серый  Белый+голубой ; 65% полиэстер, 35 % хлопок ;895р.
Медицинская одежда;Костюм санитарный № 510 большие размеры (58-64);https://argo-ivanovo.ru/xalaty/kostjum-sanitarnyj-510-bolshie-razmery; 58  60  62  64 ; Белый+серый  Белый+голубой ; 65% полиэстер, 35 % хлопок ;945р.
Медицинская одежда;Костюм санитарный № 801 (42-54);https://argo-ivanovo.ru/xalaty/kostjum-sanitarnyj-801-42-54; 42  44  46  48  50  52  54 ; Серо-голубой ; 50% хлопок , 50% полиэфир ;1280р.
Медицинская одежда;Костюм санитарный № 805 (44-50);https://argo-ivanovo.ru/xalaty/kostjum-sanitarnyj-805-44-50; 44  46  48  50 ; Лазурь+тем.синей ; 65% полиэстер, 35 % хлопок ;850р.
Медицинская одежда;Костюм санитарный № 808 (42-50);https://argo-ivanovo.ru/xalaty/kostjum-sanitarnyj-808-42-50; 42  44  46  48  50 ; Желтый+тем.синей ; 65% полиэстер, 35 % хлопок ;850р.
